TYPE-COLLATERAL,COLLATERAL,PARTY,DOC-ID,DRDATE,PROCESSING-DATE,CORR-DATE,CORR-ID,SERIAL-ID,DOC-TYPE,
2,ROLLS RR250-220B CAE832778           ,                                                  ,ARE016888072,20250516,20250602,20250602,A,CAE832778                     ,REL,
2,ROLLS RR250-220B CAE832778           ,                                                  ,ARE016888072,20250516,20250602,20250602,A,CAE832778                     ,REL,
2,ROLLS TAY 611-8 16232                ,                                                  ,ARE016972351,20250623,20250623,        , ,16232                         ,REL,
2,ROLLS TAY 611-8 16232                ,                                                  ,ARE016972349,20250623,20250623,        , ,16232                         ,REL,
2,ROLLS TAY 611-8 16232                ,                                                  ,ARE016972347,20250623,20250623,        , ,16232                         ,REL,
2,ROLLS TAY 611-8 16232                ,                                                  ,ARE016972353,20250623,20250623,        , ,16232                         ,REP,
2,ROLLS TAY 611-8 16232                ,                                                  ,ARE016972347,20250623,20250623,        , ,16232                         ,REL,
2,ROLLS TAY 611-8 16232                ,                                                  ,ARE016972345,20250623,20250623,        , ,16232                         ,REL,
2,ROLLS TAY 611-8 16232                ,                                                  ,ARE016972353,20250623,20250623,        , ,16232                         ,REP,
2,ROLLS TAY 611-8 16232                ,                                                  ,ARE016972347,20250623,20250623,        , ,16232                         ,REL,
2,ROLLS TAY 611-8 16234                ,                                                  ,ARE016972349,20250623,20250623,        , ,16234                         ,REL,
2,ROLLS TAY 611-8 16234                ,                                                  ,ARE016972351,20250623,20250623,        , ,16234                         ,REL,
2,ROLLS TAY 611-8 16234                ,                                                  ,ARE016972347,20250623,20250623,        , ,16234                         ,REL,
2,ROLLS TAY 611-8 16234                ,                                                  ,ARE016972353,20250623,20250623,        , ,16234                         ,REP,
2,ROLLS TAY 611-8 16234                ,                                                  ,ARE016972347,20250623,20250623,        , ,16234                         ,REL,
2,ROLLS TAY 611-8 16234                ,                                                  ,ARE016972353,20250623,20250623,        , ,16234                         ,REP,
2,ROLLS TAY 611-8 16234                ,                                                  ,ARE016972345,20250623,20250623,        , ,16234                         ,REL,
2,ROLLS TAY 611-8 16234                ,                                                  ,ARE016972347,20250623,20250623,        , ,16234                         ,REL,
2,ROLLS TAY 611-8 16250                ,                                                  ,            ,20250623,20250624,        , ,16250                         ,S/A,
2,ROLLS TAY 611-8 16250                ,                                                  ,            ,20250623,20250624,        , ,16250                         ,S/A,
2,ROLLS TAY 611-8 16250                ,                                                  ,            ,20250623,20250624,        , ,16250                         ,S/A,
2,ROLLS TAY 611-8 16250                ,                                                  ,            ,20250623,20250624,        , ,16250                         ,S/A,
2,ROLLS TAY 611-8 16281                ,                                                  ,ARE016953073,20250610,20250610,        , ,16281                         ,REL,
2,ROLLS TAY 611-8 16281                ,                                                  ,ARE016953073,20250610,20250610,        , ,16281                         ,REL,
2,ROLLS TAY 611-8 16284                ,                                                  ,ARE016953073,20250610,20250610,        , ,16284                         ,REL,
2,ROLLS TAY 611-8 16284                ,                                                  ,ARE016953073,20250610,20250610,        , ,16284                         ,REL,
2,ROLLS TAY 611-8C 85330               ,                                                  ,            ,20250618,20250618,        , ,85330                         ,REL,
2,ROLLS TAY 611-8C 85331               ,                                                  ,            ,20250618,20250618,        , ,85331                         ,REL,
2,ROLLS TAY 611-8C 85640               ,                                                  ,            ,20250624,20250625,20250625,C,85640                         ,DIS,
2,ROLLS TAY 611-8C 85641               ,                                                  ,            ,20250624,20250625,20250625,C,85641                         ,DIS,
2,ROLLS TAY MK 611-8 16213             ,                                                  ,ARE016939676,20250606,20250606,        , ,16213                         ,S/A,
2,ROLLS TAY MK 611-8 16213             ,                                                  ,ARE016939676,20250606,20250606,        , ,16213                         ,S/A,
2,ROLLS TAY MK 611-8 16222             ,                                                  ,ARE016939676,20250606,20250606,        , ,16222                         ,S/A,
2,ROLLS TAY MK 611-8 16222             ,                                                  ,ARE016939676,20250606,20250606,        , ,16222                         ,S/A,
2,ROLLS TAY MK611-8 16232              ,                                                  ,ARE016977109,20250624,20250624,        , ,16232                         ,REL,
2,ROLLS TAY MK611-8 16232              ,                                                  ,ARE016977109,20250624,20250624,        , ,16232                         ,REL,
2,ROLLS TAY MK611-8 16232              ,                                                  ,ARE016977107,20250624,20250624,        , ,16232                         ,REL,
2,ROLLS TAY MK611-8 16232              ,                                                  ,ARE016977109,20250624,20250624,        , ,16232                         ,REL,
2,ROLLS TAY MK611-8 16234              ,                                                  ,ARE016977109,20250624,20250624,        , ,16234                         ,REL,
2,ROLLS TAY MK611-8 16234              ,                                                  ,ARE016977109,20250624,20250624,        , ,16234                         ,REL,
2,ROLLS TAY MK611-8 16234              ,                                                  ,ARE016977107,20250624,20250624,        , ,16234                         ,REL,
2,ROLLS TAY MK611-8 16234              ,                                                  ,ARE016977109,20250624,20250624,        , ,16234                         ,REL,
2,ROLLS TAY MK611-8C 85559             ,                                                  ,ARE016934075,20250605,20250605,        , ,85559                         ,REL,
2,ROLLS TAY MK611-8C 85559             ,                                                  ,ARE016934075,20250605,20250605,        , ,85559                         ,REL,
2,ROLLS TAY MK611-8C 85560             ,                                                  ,ARE016934075,20250605,20250605,        , ,85560                         ,REL,
2,ROLLS TAY MK611-8C 85560             ,                                                  ,ARE016934075,20250605,20250605,        , ,85560                         ,REL,
2,ROLLS TRENT 7000-72 75276            ,                                                  ,ARE016884199,20250514,20250514,20250604,C,75276                         ,S/A,
2,ROLLS TRENT 7000-72 75276            ,                                                  ,ARE016884199,20250514,20250514,20250604,C,75276                         ,S/A,
2,ROLLS TRENT 772B-60 41914            ,                                                  ,ARE016946004,20250610,20250611,        , ,41914                         ,S/A,
2,ROLLS TRENT 772B-60 41914            ,                                                  ,ARE016946004,20250610,20250611,        , ,41914                         ,S/A,
2,ROLLS TRENT 772B-60 41937            ,                                                  ,ARE016946004,20250610,20250611,        , ,41937                         ,S/A,
2,ROLLS TRENT 772B-60 41937            ,                                                  ,ARE016946004,20250610,20250611,        , ,41937                         ,S/A,
2,ROLLS TRENT 772B-60EP 42553          ,                                                  ,            ,20250623,20250623,        , ,42553                         ,S/A,
2,ROLLS TRENT 772B-60EP 42553          ,                                                  ,            ,20250623,20250623,        , ,42553                         ,S/A,
2,ROLLS TRENT 772B-60EP 42605          ,                                                  ,            ,20250623,20250623,20250623,C,42605                         ,S/A,
